name|symb|Cat_mcap|Cat_rank|Cat_price.USD|Cat_price.BTC|Cat_supply
Version|V|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(5e+08,1e+09]
IntenseCoin|ITNS|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
DigitalPrice|DP|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
OPCoin|OPC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
JesusCoin|JC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
Biotron|BTRN|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
CommodityAd...|CDX|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-06,5e-06]|(1e+07,5e+07]
BitWhite|BTW|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
42-coin|42|(0,1e+07]|(200,1e+03]|||(0,1e+07]
Monoeci|XMCC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Bitswift|BITS|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(1e-05,5e-05]|(0,1e+07]
Magi|XMG|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
BelugaPay|BBI|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Amon|AMN|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
Zero|ZER|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(1e-05,5e-05]|(0,1e+07]
Creditbit|CRB|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
IncaKoin|NKA|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
WandX|WAND|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
HireMatch|HIRE|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-06,5e-06]|(1e+07,5e+07]
Etheriya|RIYA|(0,1e+07]|(200,1e+03]|(0.5,1]|(5e-05,0.0001]|(0,1e+07]
Bytecent|BYC|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(5e-05,0.0001]|(0,1e+07]
DraftCoin|DFT|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
NobleCoin|NOBL|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
CanadaeCoin|CDN|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Photon|PHO|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
Obsidian|ODN|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
Miners'Rewar...|MRT|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
TokenStars|TEAM|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
CryCash|CRC|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Megacoin|MEC|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
MagicCoin|MAGE|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Bitmark|BTM|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(0,1e+07]
TrezarCoin|TZC|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Farad|FRD|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+08,5e+08]
PlatinumBAR|XPTX|(0,1e+07]|(200,1e+03]|(0.5,1]|(0.0001,0.001]|(0,1e+07]
SovereignHero|HERO|(0,1e+07]|(200,1e+03]|(100,500]|(0.01,0.05]|(0,1e+07]
Vulcano|VULC|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+09,1e+10]
WorldCoin|WDC|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+08,5e+08]
Orbitcoin|ORB|(0,1e+07]|(200,1e+03]|(0.25,0.5]|(1e-05,5e-05]|(0,1e+07]
KekCoin|KEK|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
Masternodecoin|MTNC|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Woodcoin|LOG|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Bowhead|AHT|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
Fantomcoin|FCN|(0,1e+07]|(200,1e+03]|(0.1,0.25]|(1e-05,5e-05]|(0,1e+07]
EquiTrader|EQT|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(1e-05,5e-05]|(1e+07,5e+07]
Motocoin|MOTO|(0,1e+07]|(200,1e+03]|(0.03,0.1]|(5e-06,1e-05]|(1e+07,5e+07]
SignalsNetwork|SGN|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
Unitus|UIS|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(5e+07,1e+08]
DixAsset|DIX|(0,1e+07]|(200,1e+03]|(0,0.03]|(0,1e-06]|(1e+10,1e+12]
Adzcoin|ADZ|(0,1e+07]|(200,1e+03]|(0,0.03]|(1e-06,5e-06]|(1e+07,5e+07]
